SETTLEMENTDATE,DUID,avg_bid_band_price
2026-03-02,MEWF1,1844.107
2026-03-02,MIDDLSF1,1737.3970000000002
2026-03-02,MINTARO,4632.816
2026-03-02,MOKOSF1,2281.011
2026-03-02,MOLNGSF1,2105.773
2026-03-02,MOORAWF1,2076.0060000000003
2026-03-02,MOREESF1,1696.839
2026-03-02,MORTLK11,3832.286
2026-03-02,MORTLK12,3832.1160000000004
2026-03-02,MOUSF1,2073.492
2026-03-02,MP1,5019.642999999999
2026-03-02,MP2,5019.642999999999
2026-03-02,MPP_1,3320.2419999999997
2026-03-02,MPP_2,3320.2419999999997
2026-03-02,MREHA1,1048.9825000000003
2026-03-02,MREHA2,1075.8590000000002
2026-03-02,MREHA3,1021.5705000000002
2026-03-02,MRTLSWF1,1835.6510000000003
2026-03-02,MSTUART1,6193.464
2026-03-02,MSTUART2,6193.464
2026-03-02,MSTUART3,6193.464
2026-03-02,MTGELWF1,1858.1560000000002
2026-03-02,MTMILLAR,2418.7799999999997
2026-03-02,MUCRKSF1,1849.3190000000006
2026-03-02,MURRAY,2065.942
2026-03-02,MUSSELR1,1755.4809999999998
2026-03-02,MUWAWF1,1804.241
2026-03-02,MUWAWF2,2757.4729999999995
2026-03-02,MWPS1PV1,2233.946
2026-03-02,MWPS2PV1,2208.4039999999995
2026-03-02,MWPS3PV1,2179.121
2026-03-02,MWPS4PV1,2165.911
2026-03-02,NBHWF1,3126.6549999999997
2026-03-02,NESBESS1,51.1
2026-03-02,NESBESS2,51.1
2026-03-02,NEVERSF1,1795.9589999999996
2026-03-02,NEWENSF1,1902.1950000000002
2026-03-02,NEWENSF2,1902.1950000000002
2026-03-02,NPS,3710.296
2026-03-02,NUMURSF1,1781.4270000000001
2026-03-02,NYNGAN1,2422.75
2026-03-02,OAKEY1,4399.544
2026-03-02,OAKEY1SF,1995.2100000000003
2026-03-02,OAKEY2,4399.544
2026-03-02,OAKEY2SF,1989.4740000000002
2026-03-02,OAKLAND1,3009.657
2026-03-02,ORABESS1,1890.845
2026-03-02,OSB-AG,6158.726000000001
2026-03-02,PAREPS1,1757.378
2026-03-02,PAREPW1,1757.378
2026-03-02,PARSF1,1792.711
2026-03-02,PIBESS1,2313.2245000000003
2026-03-02,POAT110,1981.4649999999997
2026-03-02,POAT220,1998.0910000000003
2026-03-02,POR01,4276.9710000000005
2026-03-02,POR03,4284.06
2026-03-02,PPCCGT,3925.567
2026-03-02,PTSTAN1,3547.1639999999998
2026-03-02,PUMP1,2076.0600000000004
2026-03-02,PUMP2,2075.61
2026-03-02,QBYNB1,2430.3145
2026-03-02,QPS1,6459.387
2026-03-02,QPS2,6459.387
2026-03-02,QPS3,6459.387
2026-03-02,QPS4,6459.387
2026-03-02,QPS5,6412.786
2026-03-02,QPSFB1,1778.0280000000002
2026-03-02,QPSFB2,1627.6
2026-03-02,RANGEB1,3081.4450000000006
2026-03-02,REECE1,1867.9560000000001
2026-03-02,REECE2,1864.7490000000003
2026-03-02,RESS1,1969.9279999999999
2026-03-02,RIVNB2,1859.1620000000003
2026-03-02,ROMA_7,5795.445
2026-03-02,ROMA_8,5795.445
2026-03-02,RRSF1,2065.437
2026-03-02,RT_NSW1,1412.7
2026-03-02,RT_NSW2,1412.7
2026-03-02,RT_NSW3,1412.7
2026-03-02,RT_NSW4,1412.7
2026-03-02,RT_NSW5,1412.7
2026-03-02,RT_NSW6,1412.7
2026-03-02,RT_QLD1,1412.7
2026-03-02,RT_SA1,1412.7
2026-03-02,RT_SA2,1412.7
2026-03-02,RT_SA3,1412.7
2026-03-02,RT_SA4,1412.7
2026-03-02,RT_SA5,1412.7
2026-03-02,RT_SA6,1412.7
2026-03-02,RT_TAS1,1412.7
2026-03-02,RT_VIC1,1412.7
2026-03-02,RT_VIC10,1412.7
2026-03-02,RT_VIC11,1412.7
2026-03-02,RT_VIC12,1412.7
2026-03-02,RT_VIC2,1412.7
2026-03-02,RT_VIC3,1412.7
2026-03-02,RT_VIC4,1412.7
2026-03-02,RT_VIC5,1412.7
2026-03-02,RT_VIC6,1412.7
2026-03-02,RT_VIC7,1412.7
2026-03-02,RT_VIC8,1412.7
2026-03-02,RT_VIC9,1412.7
2026-03-02,RUGBYR1,1795.357
2026-03-02,RYANCWF1,1729.459
2026-03-02,RYEPARK1,2309.737
2026-03-02,SALTCRK1,2409.6540000000005
2026-03-02,SAPHWF1,2078.824
2026-03-02,SEBSF1,2321.861
2026-03-02,SHGEN,3704.514
2026-03-02,SHPUMP,2309.585
2026-03-02,SITHE01,2763.4710000000005
2026-03-02,SMCSF1,2911.8039999999996
2026-03-02,SMTHBES1,4831.33
2026-03-02,SNAPPER1,3158.9880000000003
2026-03-02,SNB01,2081.4735
2026-03-02,SNB02,2085.3599999999997
2026-03-02,SNOWNTH1,2122.3590000000004
2026-03-02,SNOWSTH1,2083.175
2026-03-02,SNOWTWN1,2360.1829999999995
2026-03-02,SNOWYP,-21.76400000000001
2026-03-02,SNUG1,4082.561
2026-03-02,SRSF1,2772.053
2026-03-02,STAN-1,2074.982
2026-03-02,STAN-2,2074.982
2026-03-02,STAN-3,2074.982
2026-03-02,STAN-4,2074.982
2026-03-02,STARHLWF,1952.9550000000004
2026-03-02,STOCKYD1,1882.5100000000002
2026-03-02,STUBSF1,2119.922
2026-03-02,STUBSF2,2119.922
2026-03-02,STWF1,2474.761
2026-03-02,SUNRSF1,2608.792
2026-03-02,SUNTPSF1,2444.107
2026-03-02,SWANBBF1,1764.4189999999999
2026-03-02,SWAN_E,3839.779
2026-03-02,TALWA1,5127.573999999999
2026-03-02,TALWB1,5208.279
2026-03-02,TARALGA1,2393.6310000000003
2026-03-02,TARBESS1,1996.9150000000002
2026-03-02,TARONG#1,1996.7909999999997
2026-03-02,TARONG#2,1996.7909999999997
2026-03-02,TARONG#3,1996.7909999999997
2026-03-02,TARONG#4,1996.7909999999997
2026-03-02,TARRALEA,1911.8780000000002
2026-03-02,TB2B1,1555.8955
2026-03-02,TB2SF1,2355.824
2026-03-02,TBSF1,1943.4
2026-03-02,TEMPB1,2328.281
2026-03-02,TIB1,3175.5985
2026-03-02,TNPS1,1998.0240000000001
2026-03-02,TORRB1,4690.1669999999995
2026-03-02,TORRB2,4690.1669999999995
2026-03-02,TORRB3,4690.1669999999995
2026-03-02,TORRB4,4690.1669999999995
2026-03-02,TREVALLN,1999.7550000000003
2026-03-02,TRGBESS1,1927.5149999999999
2026-03-02,TRIBUTE,1880.4720000000002
2026-03-02,TUMUT3,1924.137
2026-03-02,TUNGATIN,1839.102
2026-03-02,TVCC201,2029.8880000000001
2026-03-02,TVPP104,2026.9870000000003
2026-03-02,ULPBESS1,2443.7439999999997
2026-03-02,UPPTUMUT,1979.685
2026-03-02,URANQ11,3090.8829999999994
2026-03-02,URANQ12,3090.8829999999994
2026-03-02,URANQ13,3090.8829999999994
2026-03-02,URANQ14,3090.8829999999994
2026-03-02,VBB1,2762.7475000000004
2026-03-02,VP5,3850.6399999999994
2026-03-02,VP6,3850.6399999999994
2026-03-02,VPGS1,2159.192
2026-03-02,VPGS2,2159.2039999999997
2026-03-02,VPGS3,2159.204
2026-03-02,VPGS4,2159.196
2026-03-02,VPGS5,2159.2
2026-03-02,VPGS6,2159.1940000000004
2026-03-02,W/HOE#1,3827.809999999999
2026-03-02,W/HOE#2,3817.4660000000003
2026-03-02,WAGGNSF1,2293.82
2026-03-02,WALGRV1,4517.392000000001
2026-03-02,WAMBOWF1,2067.155
2026-03-02,WANDB1,3278.5285000000003
2026-03-02,WANDSF1,1921.506
2026-03-02,WARWSF1,2193.999
2026-03-02,WARWSF2,2191.7929999999997
2026-03-02,WATERLWF,2122.9550000000004
2026-03-02,WDBESS1,3221.2349999999997
2026-03-02,WDBESS2,2866.853
2026-03-02,WDGPH1,1840.462
2026-03-02,WELLSF1,2049.4289999999996
2026-03-02,WELNSF1,2230.531
2026-03-02,WEMENSF1,3495.5869999999995
2026-03-02,WGWF1,3448.571
2026-03-02,WHITSF1,3519.7399999999993
2026-03-02,WINTSF1,2338.514
2026-03-02,WKIEWA1,3444.4519999999998
2026-03-02,WKIEWA2,3444.4519999999998
2026-03-02,WLWLSF1,2007.893
2026-03-02,WLWLSF2,2007.893
2026-03-02,WOLARSF1,2486.313
2026-03-02,WOODLWN1,3498.0440000000003
2026-03-02,WOOLGSF1,2194.246
2026-03-02,WPWF,2669.2399999999993
2026-03-02,WRSF1,1600.508
2026-03-02,WRWF1,2027.9600000000003
2026-03-02,WSTWYSF1,1881.163
2026-03-02,WTAHB1,2573.4764999999998
2026-03-02,WUNUSF1,2075.3630000000003
2026-03-02,WYASF1,1916.5240000000001
2026-03-02,YABULU,2978.5130000000004
2026-03-02,YABULU2,3018.82
2026-03-02,YARANSF1,2619.5209999999997
2026-03-02,YARWUN_1,1087.949
2026-03-02,YATSF1,2210.324
2026-03-02,YENDWF1,2364.117
2026-03-02,YWPS1,3671.196
2026-03-02,YWPS2,3642.7349999999997
2026-03-02,YWPS3,3642.7349999999997
2026-03-02,YWPS4,3642.7349999999997
2026-03-03,ADPBA1,728.5
2026-03-03,ADPPV1,2272.065
2026-03-03,AGLHAL,5115.82
2026-03-03,AGLSOM,3382.0619999999994
2026-03-03,ALDGASF1,1755.5090000000005
2026-03-03,ANGAST1,3545.004000000001
2026-03-03,ARWF1,1941.3939999999996
2026-03-03,AVLSF1,1575.0649999999998
2026-03-03,BALB1,147.1015
2026-03-03,BALDHWF1,1774.3310000000001
2026-03-03,BANGOWF1,2252.5899999999997
2026-03-03,BANGOWF2,2279.4359999999997
2026-03-03,BANN1,1539.3999999999996
2026-03-03,BARCALDN,3200.947
2026-03-03,BARKIPS1,4355.193
2026-03-03,BARRON-1,3084.8050000000003
2026-03-03,BARRON-2,3084.8050000000003
2026-03-03,BASTYAN,1895.666
2026-03-03,BBATTERY1,2575.3084999999996
2026-03-03,BBTHREE1,2027.0050000000003
2026-03-03,BBTHREE2,2027.0230000000004
2026-03-03,BBTHREE3,2027.041
2026-03-03,BDL01,4400.111
2026-03-03,BDL02,4400.112
2026-03-03,BERYLSF1,2366.576
2026-03-03,BHB1,3204.1240000000003
2026-03-03,BLOWERNG,-71.59899999999999
2026-03-03,BLUEGSF1,2678.4080000000004
2026-03-03,BLUFF1,2817.2470000000003
2026-03-03,BLYTHB1,3207.134
2026-03-03,BNGSF1,1923.1200000000001
2026-03-03,BNGSF2,1923.1200000000001
2026-03-03,BOCORWF1,2226.1709999999994
2026-03-03,BODWF1,3482.8
2026-03-03,BOLIVPS1,4843.553999999999
2026-03-03,BOMENSF1,2673.288
2026-03-03,BOWWBA1,728.5
2026-03-03,BOWWPV1,2179.978
2026-03-03,BRAEMAR1,2915.1649999999995
2026-03-03,BRAEMAR2,3080.3059999999996
2026-03-03,BRAEMAR3,3493.064
2026-03-03,BRAEMAR5,3801.5509999999995
2026-03-03,BRAEMAR6,3801.5509999999995
2026-03-03,BRAEMAR7,3801.5509999999995
2026-03-03,BRDDSF01,2210.674
2026-03-03,BRNDBES1,3212.249
2026-03-03,BROKENH1,2341.982
2026-03-03,BRYB1WF1,1589.0629999999999
2026-03-03,BRYB2WF2,2390.8779999999997
2026-03-03,BULBES1,2665.6749999999993
2026-03-03,BULGANA1,1719.8049999999996
2026-03-03,BUNGAMB1,3462.2659999999996
2026-03-03,BUSF1,1748.605
2026-03-03,BW01,3924.9600000000005
2026-03-03,BW02,3924.9600000000005
2026-03-03,BW03,3923.923
2026-03-03,BW04,3923.923
2026-03-03,CALL_B_1,2806.487
2026-03-03,CALL_B_2,2806.487
2026-03-03,CAPBES1,3217.5854999999992
2026-03-03,CATHROCK,1768.091
2026-03-03,CBWWBA1,728.5
2026-03-03,CETHANA,1922.7689999999998
2026-03-03,CG1,2164.3149999999996
2026-03-03,CG2,2164.3389999999995
2026-03-03,CG3,2164.323
2026-03-03,CG4,2164.331
2026-03-03,CGBESS01,3436.4674999999997
2026-03-03,CHBESS1,1938.0985
2026-03-03,CHILDSF1,2775.1090000000004
2026-03-03,CHYTWF1,3200.745
2026-03-03,CLARESF1,2162.339
2026-03-03,CLEMGPWF,2438.708
2026-03-03,CLERMSF1,2249.2539999999995
2026-03-03,CLRKCWF1,1798.6559999999997
2026-03-03,CLRKCWF2,2297.714
2026-03-03,CNUNDAWF,1867.2659999999996
2026-03-03,COHUNSF1,1746.0429999999997
2026-03-03,COLEASF1,1734.3049999999998
2026-03-03,COLUMSF1,2380.639
2026-03-03,COLWF01,2645.704
2026-03-03,COOPGWF1,2780.82
2026-03-03,CPP_3,2764.579
2026-03-03,CPP_4,2764.579
2026-03-03,CPSA,3358.072
2026-03-03,CROOKWF2,2020.539
2026-03-03,CROOKWF3,1696.0369999999998
2026-03-03,CROWLWF1,2238.111
2026-03-03,CRURWF1,2291.156
2026-03-03,CRWARP1,1959.4210000000003
2026-03-03,CRWASF1,2312.718
2026-03-03,CSPVPS1,1675.6289999999997
2026-03-03,CTHLWF1,2772.2709999999997
2026-03-03,CUSF1,1849.895
2026-03-03,DALNTH1,3737.0020000000004
2026-03-03,DARLSF1,2301.019
2026-03-03,DARTM1,4092.7399999999993
2026-03-03,DAYDSF1,3692.631
2026-03-03,DDPS1,3528.1649999999995
2026-03-03,DDSF1,2984.2470000000003
2026-03-03,DEVILS_G,1951.711
2026-03-03,DG_NSW1,1412.7
2026-03-03,DG_QLD1,1412.7
2026-03-03,DG_SA1,1412.7
2026-03-03,DG_TAS1,1412.7
2026-03-03,DG_VIC1,1412.7
2026-03-03,DPNTB1,1842.1559999999997
2026-03-03,DRVIOT06,51.1
2026-03-03,DRXNAD01,2075.0
2026-03-03,DRXNAE01,2075.0
2026-03-03,DRXNDA01,2077.83
2026-03-03,DRXNDA02,2077.63
2026-03-03,DRXNDA03,2077.63
2026-03-03,DRXNDA04,2077.63
2026-03-03,DRXNDB04,2075.0
2026-03-03,DRXNDE01,2777.83
2026-03-03,DRXNDJ01,2095.0299999999997
2026-03-03,DRXNDW01,2075.0
2026-03-03,DRXNFF01,2075.0
2026-03-03,DRXNFS01,2077.6
2026-03-03,DRXNQX01,2075.0
2026-03-03,DRXNSS01,2075.0
2026-03-03,DRXNTM02,4992.6
2026-03-03,DRXNVS01,2075.0
2026-03-03,DRXQDA01,2078.5
2026-03-03,DRXQQE01,2075.0
2026-03-03,DRXSQS01,2078.6
2026-03-03,DRXVAE01,51.1
2026-03-03,DRXVDJ01,2075.23
2026-03-03,DRXVDP01,2165.0
2026-03-03,DRXVDX01,2775.0299999999997
2026-03-03,DRXVQP01,2775.23
2026-03-03,DRXVQX01,2775.0299999999997
2026-03-03,DRXVQX02,2075.0
2026-03-03,DRYCGT1,5114.236
2026-03-03,DRYCGT2,4461.176
2026-03-03,DRYCGT3,5088.072
2026-03-03,DULAWF1,2722.657
2026-03-03,DUNDWF1,2462.25
2026-03-03,DUNDWF2,2514.356
2026-03-03,DUNDWF3,2442.1690000000003
2026-03-03,EDENVSF1,2761.74
2026-03-03,EILDON1,3512.3959999999997
2026-03-03,EILDON2,3512.3959999999997
2026-03-03,ELAINWF1,2406.782
2026-03-03,EMERASF1,1765.227
2026-03-03,ER01,3649.422
2026-03-03,ER02,3649.422
2026-03-03,ER03,3652.387
2026-03-03,ER04,3652.387
2026-03-03,ERB01,1525.6130000000005
2026-03-03,FINLYSF1,1951.4029999999998
2026-03-03,FISHER,1934.9080000000001
2026-03-03,FLYCRKWF,2241.173
2026-03-03,GANGARR1,1896.4630000000002
2026-03-03,GANNB1,1826.3980000000004
2026-03-03,GANNSF1,2173.898
2026-03-03,GESF1,1703.6899999999998
2026-03-03,GIRGSF,1734.1329999999998
2026-03-03,GLENSF1,2094.442
2026-03-03,GLRWNSF1,2363.254
2026-03-03,GNNDHSF1,2200.578
2026-03-03,GOESF1,1967.113
2026-03-03,GOONSF1,2666.278
2026-03-03,GORDON,1947.2400000000005
2026-03-03,GPWFEST1,2157.57
2026-03-03,GPWFEST2,2157.57
2026-03-03,GPWFEST3,2152.6040000000003
2026-03-03,GPWFWST1,2158.233
2026-03-03,GPWFWST2,2158.233
2026-03-03,GRANWF1,2097.9109999999996
2026-03-03,GREENB1,2003.309
2026-03-03,GSTONE1,2090.8480000000004
2026-03-03,GSTONE2,2090.8480000000004
2026-03-03,GSTONE3,2085.543
